"heigth" "gender"
"1" 163.18 "male"
"2" 165.04 "male"
"3" 167.72 "male"
"4" 175.17 "male"
"5" 163.67 "male"
"6" 180.98 "male"
"7" 179.94 "male"
"8" 184.61 "male"
"9" 171.61 "male"
"10" 163.52 "male"
"11" 161.24 "male"
"12" 169.95 "male"
"13" 168.55 "male"
"14" 160.47 "male"
"15" 166.87 "male"
"16" 159.74 "male"
"17" 170.22 "male"
"18" 171.34 "male"
"19" 163.01 "male"
"20" 171.04 "male"
"21" 165.33 "male"
"22" 174.58 "male"
"23" 165.99 "male"
"24" 174.19 "male"
"25" 180.45 "male"
"26" 161.79 "male"
"27" 165.28 "male"
"28" 169.38 "male"
"29" 164.59 "male"
"30" 169.07 "male"
"31" 172.19 "male"
"32" 164.89 "male"
"33" 175.02 "male"
"34" 154.67 "male"
"35" 158.9 "male"
"36" 170.94 "male"
"37" 152.55 "male"
"38" 165.37 "male"
"39" 161.11 "male"
"40" 170.82 "male"
"41" 151.44 "male"
"42" 161.67 "male"
"43" 172.32 "male"
"44" 184.87 "male"
"45" 172.33 "male"
"46" 170.58 "male"
"47" 166.79 "male"
"48" 149.82 "male"
"49" 178.36 "male"
"50" 177.82 "male"
"51" 175.8 "female"
"52" 152.26 "female"
"53" 187.28 "female"
"54" 201.91 "female"
"55" 156.72 "female"
"56" 164.8 "female"
"57" 160.76 "female"
"58" 151.53 "female"
"59" 163.87 "female"
"60" 164.72 "female"
"61" 165.86 "female"
"62" 158.97 "female"
"63" 179.07 "female"
"64" 156.63 "female"
"65" 161.95 "female"
"66" 167.38 "female"
"67" 176.69 "female"
"68" 171.49 "female"
"69" 158.25 "female"
"70" 196.19 "female"
"71" 152.19 "female"
"72" 173.91 "female"
"73" 155.97 "female"
"74" 138.58 "female"
"75" 153.28 "female"
"76" 170.39 "female"
"77" 160.77 "female"
"78" 164.98 "female"
"79" 159.98 "female"
"80" 162.34 "female"
"81" 174.31 "female"
"82" 152.07 "female"
"83" 144.53 "female"
"84" 152.4 "female"
"85" 150.45 "female"
"86" 145.9 "female"
"87" 157.35 "female"
"88" 176.6 "female"
"89" 164.16 "female"
"90" 170.25 "female"
"91" 154.72 "female"
"92" 163.64 "female"
"93" 153.99 "female"
"94" 164 "female"
"95" 159.29 "female"
"96" 157.97 "female"
"97" 148.01 "female"
"98" 150.91 "female"
"99" 157.92 "female"
"100" 163.94 "female"
